case_id,applicant_id,feature,coefficient,applicant_value,true_contribution,abs_contribution
339,SGC0340,purpose=new_car,-1.5925077719116176,1.0,-1.5925077719116176,1.5925077719116176
339,SGC0340,status=checking_balance_at_least_200_DM_or_salary_account,-1.5420877384755476,1.0,-1.5420877384755476,1.5420877384755476
339,SGC0340,savings=savings_500_to_below_1000_DM,-1.1394261895710973,1.0,-1.1394261895710973,1.1394261895710973
339,SGC0340,employment_duration=employed_4_to_below_7_years,-0.8747210415994218,1.0,-0.8747210415994218,0.8747210415994218
339,SGC0340,personal_status_sex=male_married_or_widowed,-0.6176617098197196,1.0,-0.6176617098197196,0.6176617098197196
339,SGC0340,job=skilled_employee_or_official,0.5538300295948082,1.0,0.5538300295948082,0.5538300295948082
339,SGC0340,present_residence=residence_1_to_below_4_years,0.497191054749778,1.0,0.497191054749778,0.497191054749778
339,SGC0340,other_installment_plans=none,-0.4805033248752125,1.0,-0.4805033248752125,0.4805033248752125
339,SGC0340,installment_rate=installment_rate_20_to_below_25_percent,0.46368428373970155,1.0,0.46368428373970155,0.46368428373970155
339,SGC0340,property=car_or_other_property,0.457173614119592,1.0,0.457173614119592,0.457173614119592
339,SGC0340,housing=rent,-0.3798455549649004,1.0,-0.3798455549649004,0.3798455549649004
339,SGC0340,amount_standardized,0.4061854967970613,-0.6432335720075502,-0.26127214800243503,0.26127214800243503
339,SGC0340,people_liable=zero_to_two_people_liable,-0.21047507109692518,1.0,-0.21047507109692518,0.21047507109692518
339,SGC0340,duration_standardized,0.28731916216523185,-0.7272633685990266,-0.2089567017393365,0.2089567017393365
339,SGC0340,credit_history=no_credits_taken_or_all_paid_back_duly,-0.05815394146192217,1.0,-0.05815394146192217,0.05815394146192217
339,SGC0340,age_standardized,-0.008126724248773495,1.73083522250784,-0.014066020573385732,0.014066020573385732
339,SGC0340,credit_history=all_credits_at_this_bank_paid_back_duly,-1.3303229846342013,0.0,-0.0,0.0
339,SGC0340,credit_history=critical_account_or_other_credits_elsewhere,0.4888820980609399,0.0,0.0,0.0
339,SGC0340,credit_history=existing_credits_paid_back_duly_until_now,-0.8277684084263133,0.0,-0.0,0.0
339,SGC0340,employment_duration=employed_1_to_below_4_years,-0.14552020683267577,0.0,-0.0,0.0
339,SGC0340,employment_duration=employed_at_least_7_years,-0.29104659250792164,0.0,-0.0,0.0
339,SGC0340,employment_duration=employed_below_1_year,-0.09476375887446102,0.0,-0.0,0.0
339,SGC0340,foreign_worker=no,0.9246035243046511,0.0,0.0,0.0
339,SGC0340,housing=own,-0.32551765696821017,0.0,-0.0,0.0
339,SGC0340,installment_rate=installment_rate_25_to_below_35_percent,0.24610323482427957,0.0,0.0,0.0
339,SGC0340,installment_rate=installment_rate_below_20_percent,0.8178230443200483,0.0,0.0,0.0
339,SGC0340,job=manager_self_employed_or_highly_qualified_employee,0.5540419368865822,0.0,0.0,0.0
339,SGC0340,job=unskilled_resident,0.41605252441361323,0.0,0.0,0.0
339,SGC0340,number_credits=at_least_six_credits,-0.07185452168977104,0.0,-0.0,0.0
339,SGC0340,number_credits=four_or_five_credits,0.16106543225053221,0.0,0.0,0.0
339,SGC0340,number_credits=two_or_three_credits,0.5681976567283473,0.0,0.0,0.0
339,SGC0340,other_debtors=co_applicant,0.3252315197738298,0.0,0.0,0.0
339,SGC0340,other_debtors=guarantor,-0.9594853868998601,0.0,-0.0,0.0
339,SGC0340,other_installment_plans=stores,-0.04370961426166877,0.0,-0.0,0.0
339,SGC0340,personal_status_sex=female_non_single_or_male_single,0.2431963319141824,0.0,0.0,0.0
339,SGC0340,personal_status_sex=female_single,-0.16840957682648225,0.0,-0.0,0.0
339,SGC0340,present_residence=residence_4_to_below_7_years,0.4109739249104875,0.0,0.0,0.0
